Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
NOR, 00:01:09.954000, 00:01:09.819000, 00:00:00.135000,69.954,69.819,0.135,8,Monaco Grand Prix
LEC, 00:01:10.063000, 00:01:09.819000, 00:00:00.244000,70.063,69.819,0.244,8,Monaco Grand Prix
PIA, 00:01:10.129000, 00:01:09.819000, 00:00:00.310000,70.129,69.819,0.31,8,Monaco Grand Prix
HAM, 00:01:10.382000, 00:01:09.819000, 00:00:00.563000,70.382,69.819,0.563,8,Monaco Grand Prix
VER, 00:01:10.669000, 00:01:09.819000, 00:00:00.850000,70.669,69.819,0.85,8,Monaco Grand Prix
ALB, 00:01:10.732000, 00:01:09.819000, 00:00:00.913000,70.732,69.819,0.913,8,Monaco Grand Prix
HAD, 00:01:10.923000, 00:01:09.819000, 00:00:01.104000,70.923,69.819,1.104,8,Monaco Grand Prix
ALO, 00:01:10.924000, 00:01:09.819000, 00:00:01.105000,70.924,69.819,1.105,8,Monaco Grand Prix
OCO, 00:01:10.942000, 00:01:09.819000, 00:00:01.123000,70.942,69.819,1.123,8,Monaco Grand Prix
LAW, 00:01:11.129000, 00:01:09.819000, 00:00:01.310000,71.129,69.819,1.31,8,Monaco Grand Prix
SAI, 00:01:11.362000, 00:01:09.819000, 00:00:01.543000,71.362,69.819,1.543,8,Monaco Grand Prix
TSU, 00:01:11.415000, 00:01:09.819000, 00:00:01.596000,71.415,69.819,1.596,8,Monaco Grand Prix
RUS, 00:01:11.507000, 00:01:09.819000, 00:00:01.688000,71.507,69.819,1.688,8,Monaco Grand Prix
HUL, 00:01:11.596000, 00:01:09.819000, 00:00:01.777000,71.596,69.819,1.777,8,Monaco Grand Prix
ANT, 00:01:11.880000, 00:01:09.819000, 00:00:02.061000,71.88,69.819,2.061,8,Monaco Grand Prix
BOR, 00:01:11.902000, 00:01:09.819000, 00:00:02.083000,71.902,69.819,2.083,8,Monaco Grand Prix
BEA, 00:01:11.979000, 00:01:09.819000, 00:00:02.160000,71.979,69.819,2.16,8,Monaco Grand Prix
GAS, 00:01:11.994000, 00:01:09.819000, 00:00:02.175000,71.994,69.819,2.175,8,Monaco Grand Prix
STR, 00:01:12.563000, 00:01:09.819000, 00:00:02.744000,72.563,69.819,2.744,8,Monaco Grand Prix
COL, 00:01:12.597000, 00:01:09.819000, 00:00:02.778000,72.597,69.819,2.778,8,Monaco Grand Prix
