Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
VER, 00:01:32.510000, 00:01:32.395000, 00:00:00.115000,92.51,92.395,0.115,19,United States Grand Prix
NOR, 00:01:32.801000, 00:01:32.395000, 00:00:00.406000,92.801,92.395,0.406,19,United States Grand Prix
LEC, 00:01:32.807000, 00:01:32.395000, 00:00:00.412000,92.807,92.395,0.412,19,United States Grand Prix
RUS, 00:01:32.826000, 00:01:32.395000, 00:00:00.431000,92.826,92.395,0.431,19,United States Grand Prix
HAM, 00:01:32.912000, 00:01:32.395000, 00:00:00.517000,92.912,92.395,0.517,19,United States Grand Prix
ANT, 00:01:33.044000, 00:01:32.395000, 00:00:00.649000,93.044,92.395,0.649,19,United States Grand Prix
PIA, 00:01:33.084000, 00:01:32.395000, 00:00:00.689000,93.084,92.395,0.689,19,United States Grand Prix
SAI, 00:01:33.124000, 00:01:32.395000, 00:00:00.729000,93.124,92.395,0.729,19,United States Grand Prix
BEA, 00:01:33.139000, 00:01:32.395000, 00:00:00.744000,93.139,92.395,0.744,19,United States Grand Prix
ALO, 00:01:33.160000, 00:01:32.395000, 00:00:00.765000,93.16,92.395,0.765,19,United States Grand Prix
HUL, 00:01:33.334000, 00:01:32.395000, 00:00:00.939000,93.334,92.395,0.939,19,United States Grand Prix
LAW, 00:01:33.360000, 00:01:32.395000, 00:00:00.965000,93.36,92.395,0.965,19,United States Grand Prix
TSU, 00:01:33.466000, 00:01:32.395000, 00:00:01.071000,93.466,92.395,1.071,19,United States Grand Prix
GAS, 00:01:33.599000, 00:01:32.395000, 00:00:01.204000,93.599,92.395,1.204,19,United States Grand Prix
ALB, 00:01:33.670000, 00:01:32.395000, 00:00:01.275000,93.67,92.395,1.275,19,United States Grand Prix
STR, 00:01:33.878000, 00:01:32.395000, 00:00:01.483000,93.878,92.395,1.483,19,United States Grand Prix
COL, 00:01:34.039000, 00:01:32.395000, 00:00:01.644000,94.039,92.395,1.644,19,United States Grand Prix
BOR, 00:01:34.125000, 00:01:32.395000, 00:00:01.730000,94.125,92.395,1.73,19,United States Grand Prix
OCO, 00:01:34.136000, 00:01:32.395000, 00:00:01.741000,94.136,92.395,1.741,19,United States Grand Prix
HAD,, 00:01:32.395000,,,92.395,,19,United States Grand Prix
