Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
PIA, 00:01:30.641000, 00:01:30.526000, 00:00:00.115000,90.641,90.526,0.115,2,Chinese Grand Prix
RUS, 00:01:30.723000, 00:01:30.526000, 00:00:00.197000,90.723,90.526,0.197,2,Chinese Grand Prix
NOR, 00:01:30.787000, 00:01:30.526000, 00:00:00.261000,90.787,90.526,0.261,2,Chinese Grand Prix
VER, 00:01:30.817000, 00:01:30.526000, 00:00:00.291000,90.817,90.526,0.291,2,Chinese Grand Prix
HAM, 00:01:30.927000, 00:01:30.526000, 00:00:00.401000,90.927,90.526,0.401,2,Chinese Grand Prix
LEC, 00:01:31.021000, 00:01:30.526000, 00:00:00.495000,91.021,90.526,0.495,2,Chinese Grand Prix
HAD, 00:01:31.079000, 00:01:30.526000, 00:00:00.553000,91.079,90.526,0.553,2,Chinese Grand Prix
ANT, 00:01:31.103000, 00:01:30.526000, 00:00:00.577000,91.103,90.526,0.577,2,Chinese Grand Prix
TSU, 00:01:31.238000, 00:01:30.526000, 00:00:00.712000,91.238,90.526,0.712,2,Chinese Grand Prix
ALB, 00:01:31.503000, 00:01:30.526000, 00:00:00.977000,91.503,90.526,0.977,2,Chinese Grand Prix
OCO, 00:01:31.625000, 00:01:30.526000, 00:00:01.099000,91.625,90.526,1.099,2,Chinese Grand Prix
SAI, 00:01:31.628000, 00:01:30.526000, 00:00:01.102000,91.628,90.526,1.102,2,Chinese Grand Prix
HUL, 00:01:31.632000, 00:01:30.526000, 00:00:01.106000,91.632,90.526,1.106,2,Chinese Grand Prix
ALO, 00:01:31.688000, 00:01:30.526000, 00:00:01.162000,91.688,90.526,1.162,2,Chinese Grand Prix
STR, 00:01:31.773000, 00:01:30.526000, 00:00:01.247000,91.773,90.526,1.247,2,Chinese Grand Prix
GAS, 00:01:31.992000, 00:01:30.526000, 00:00:01.466000,91.992,90.526,1.466,2,Chinese Grand Prix
BEA, 00:01:32.018000, 00:01:30.526000, 00:00:01.492000,92.018,90.526,1.492,2,Chinese Grand Prix
DOO, 00:01:32.092000, 00:01:30.526000, 00:00:01.566000,92.092,90.526,1.566,2,Chinese Grand Prix
BOR, 00:01:32.141000, 00:01:30.526000, 00:00:01.615000,92.141,90.526,1.615,2,Chinese Grand Prix
LAW, 00:01:32.174000, 00:01:30.526000, 00:00:01.648000,92.174,90.526,1.648,2,Chinese Grand Prix
