Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
VER, 00:01:26.204000, 00:01:25.873000, 00:00:00.331000,86.204,85.873,0.331,6,Miami Grand Prix
PIA, 00:01:26.269000, 00:01:25.873000, 00:00:00.396000,86.269,85.873,0.396,6,Miami Grand Prix
NOR, 00:01:26.269000, 00:01:25.873000, 00:00:00.396000,86.269,85.873,0.396,6,Miami Grand Prix
ANT, 00:01:26.271000, 00:01:25.873000, 00:00:00.398000,86.271,85.873,0.398,6,Miami Grand Prix
RUS, 00:01:26.385000, 00:01:25.873000, 00:00:00.512000,86.385,85.873,0.512,6,Miami Grand Prix
SAI, 00:01:26.569000, 00:01:25.873000, 00:00:00.696000,86.569,85.873,0.696,6,Miami Grand Prix
ALB, 00:01:26.682000, 00:01:25.873000, 00:00:00.809000,86.682,85.873,0.809,6,Miami Grand Prix
LEC, 00:01:26.754000, 00:01:25.873000, 00:00:00.881000,86.754,85.873,0.881,6,Miami Grand Prix
OCO, 00:01:26.824000, 00:01:25.873000, 00:00:00.951000,86.824,85.873,0.951,6,Miami Grand Prix
TSU, 00:01:26.943000, 00:01:25.873000, 00:00:01.070000,86.943,85.873,1.07,6,Miami Grand Prix
HAD, 00:01:26.987000, 00:01:25.873000, 00:00:01.114000,86.987,85.873,1.114,6,Miami Grand Prix
HAM, 00:01:27.006000, 00:01:25.873000, 00:00:01.133000,87.006,85.873,1.133,6,Miami Grand Prix
BOR, 00:01:27.151000, 00:01:25.873000, 00:00:01.278000,87.151,85.873,1.278,6,Miami Grand Prix
DOO, 00:01:27.186000, 00:01:25.873000, 00:00:01.313000,87.186,85.873,1.313,6,Miami Grand Prix
LAW, 00:01:27.363000, 00:01:25.873000, 00:00:01.490000,87.363,85.873,1.49,6,Miami Grand Prix
HUL, 00:01:27.473000, 00:01:25.873000, 00:00:01.600000,87.473,85.873,1.6,6,Miami Grand Prix
ALO, 00:01:27.604000, 00:01:25.873000, 00:00:01.731000,87.604,85.873,1.731,6,Miami Grand Prix
GAS, 00:01:27.710000, 00:01:25.873000, 00:00:01.837000,87.71,85.873,1.837,6,Miami Grand Prix
STR, 00:01:27.830000, 00:01:25.873000, 00:00:01.957000,87.83,85.873,1.957,6,Miami Grand Prix
BEA, 00:01:27.999000, 00:01:25.873000, 00:00:02.126000,87.999,85.873,2.126,6,Miami Grand Prix
