Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
VER, 00:01:27.294000, 00:01:27.046000, 00:00:00.248000,87.294,87.046,0.248,5,Saudi Arabian Grand Prix
PIA, 00:01:27.304000, 00:01:27.046000, 00:00:00.258000,87.304,87.046,0.258,5,Saudi Arabian Grand Prix
RUS, 00:01:27.407000, 00:01:27.046000, 00:00:00.361000,87.407,87.046,0.361,5,Saudi Arabian Grand Prix
NOR, 00:01:27.481000, 00:01:27.046000, 00:00:00.435000,87.481,87.046,0.435,5,Saudi Arabian Grand Prix
LEC, 00:01:27.670000, 00:01:27.046000, 00:00:00.624000,87.67,87.046,0.624,5,Saudi Arabian Grand Prix
ANT, 00:01:27.798000, 00:01:27.046000, 00:00:00.752000,87.798,87.046,0.752,5,Saudi Arabian Grand Prix
TSU, 00:01:27.990000, 00:01:27.046000, 00:00:00.944000,87.99,87.046,0.944,5,Saudi Arabian Grand Prix
SAI, 00:01:28.024000, 00:01:27.046000, 00:00:00.978000,88.024,87.046,0.978,5,Saudi Arabian Grand Prix
GAS, 00:01:28.025000, 00:01:27.046000, 00:00:00.979000,88.025,87.046,0.979,5,Saudi Arabian Grand Prix
HAM, 00:01:28.102000, 00:01:27.046000, 00:00:01.056000,88.102,87.046,1.056,5,Saudi Arabian Grand Prix
ALB, 00:01:28.109000, 00:01:27.046000, 00:00:01.063000,88.109,87.046,1.063,5,Saudi Arabian Grand Prix
LAW, 00:01:28.191000, 00:01:27.046000, 00:00:01.145000,88.191,87.046,1.145,5,Saudi Arabian Grand Prix
ALO, 00:01:28.303000, 00:01:27.046000, 00:00:01.257000,88.303,87.046,1.257,5,Saudi Arabian Grand Prix
HAD, 00:01:28.418000, 00:01:27.046000, 00:00:01.372000,88.418,87.046,1.372,5,Saudi Arabian Grand Prix
BEA, 00:01:28.536000, 00:01:27.046000, 00:00:01.490000,88.536,87.046,1.49,5,Saudi Arabian Grand Prix
STR, 00:01:28.645000, 00:01:27.046000, 00:00:01.599000,88.645,87.046,1.599,5,Saudi Arabian Grand Prix
DOO, 00:01:28.739000, 00:01:27.046000, 00:00:01.693000,88.739,87.046,1.693,5,Saudi Arabian Grand Prix
HUL, 00:01:28.782000, 00:01:27.046000, 00:00:01.736000,88.782,87.046,1.736,5,Saudi Arabian Grand Prix
OCO, 00:01:29.092000, 00:01:27.046000, 00:00:02.046000,89.092,87.046,2.046,5,Saudi Arabian Grand Prix
BOR, 00:01:29.462000, 00:01:27.046000, 00:00:02.416000,89.462,87.046,2.416,5,Saudi Arabian Grand Prix
