Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
PIA, 00:01:29.841000, 00:01:29.828000, 00:00:00.013000,89.841,89.828,0.013,4,Bahrain Grand Prix
RUS, 00:01:30.009000, 00:01:29.828000, 00:00:00.181000,90.009,89.828,0.181,4,Bahrain Grand Prix
LEC, 00:01:30.175000, 00:01:29.828000, 00:00:00.347000,90.175,89.828,0.347,4,Bahrain Grand Prix
ANT, 00:01:30.213000, 00:01:29.828000, 00:00:00.385000,90.213,89.828,0.385,4,Bahrain Grand Prix
GAS, 00:01:30.216000, 00:01:29.828000, 00:00:00.388000,90.216,89.828,0.388,4,Bahrain Grand Prix
NOR, 00:01:30.267000, 00:01:29.828000, 00:00:00.439000,90.267,89.828,0.439,4,Bahrain Grand Prix
VER, 00:01:30.423000, 00:01:29.828000, 00:00:00.595000,90.423,89.828,0.595,4,Bahrain Grand Prix
SAI, 00:01:30.680000, 00:01:29.828000, 00:00:00.852000,90.68,89.828,0.852,4,Bahrain Grand Prix
HAM, 00:01:30.772000, 00:01:29.828000, 00:00:00.944000,90.772,89.828,0.944,4,Bahrain Grand Prix
TSU, 00:01:31.228000, 00:01:29.828000, 00:00:01.400000,91.228,89.828,1.4,4,Bahrain Grand Prix
DOO, 00:01:31.245000, 00:01:29.828000, 00:00:01.417000,91.245,89.828,1.417,4,Bahrain Grand Prix
HAD, 00:01:31.271000, 00:01:29.828000, 00:00:01.443000,91.271,89.828,1.443,4,Bahrain Grand Prix
OCO, 00:01:31.594000, 00:01:29.828000, 00:00:01.766000,91.594,89.828,1.766,4,Bahrain Grand Prix
ALO, 00:01:31.634000, 00:01:29.828000, 00:00:01.806000,91.634,89.828,1.806,4,Bahrain Grand Prix
HUL, 00:01:31.693000, 00:01:29.828000, 00:00:01.865000,91.693,89.828,1.865,4,Bahrain Grand Prix
ALB, 00:01:32.040000, 00:01:29.828000, 00:00:02.212000,92.04,89.828,2.212,4,Bahrain Grand Prix
LAW, 00:01:32.165000, 00:01:29.828000, 00:00:02.337000,92.165,89.828,2.337,4,Bahrain Grand Prix
BOR, 00:01:32.186000, 00:01:29.828000, 00:00:02.358000,92.186,89.828,2.358,4,Bahrain Grand Prix
STR, 00:01:32.283000, 00:01:29.828000, 00:00:02.455000,92.283,89.828,2.455,4,Bahrain Grand Prix
BEA, 00:01:32.373000, 00:01:29.828000, 00:00:02.545000,92.373,89.828,2.545,4,Bahrain Grand Prix
