Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
VER, 00:01:18.792000, 00:01:18.568000, 00:00:00.224000,78.792,78.568,0.224,16,Italian Grand Prix
NOR, 00:01:18.869000, 00:01:18.568000, 00:00:00.301000,78.869,78.568,0.301,16,Italian Grand Prix
PIA, 00:01:18.982000, 00:01:18.568000, 00:00:00.414000,78.982,78.568,0.414,16,Italian Grand Prix
LEC, 00:01:19.007000, 00:01:18.568000, 00:00:00.439000,79.007,78.568,0.439,16,Italian Grand Prix
HAM, 00:01:19.124000, 00:01:18.568000, 00:00:00.556000,79.124,78.568,0.556,16,Italian Grand Prix
RUS, 00:01:19.157000, 00:01:18.568000, 00:00:00.589000,79.157,78.568,0.589,16,Italian Grand Prix
ANT, 00:01:19.200000, 00:01:18.568000, 00:00:00.632000,79.2,78.568,0.632,16,Italian Grand Prix
BOR, 00:01:19.323000, 00:01:18.568000, 00:00:00.755000,79.323,78.568,0.755,16,Italian Grand Prix
ALO, 00:01:19.362000, 00:01:18.568000, 00:00:00.794000,79.362,78.568,0.794,16,Italian Grand Prix
TSU, 00:01:19.433000, 00:01:18.568000, 00:00:00.865000,79.433,78.568,0.865,16,Italian Grand Prix
BEA, 00:01:19.446000, 00:01:18.568000, 00:00:00.878000,79.446,78.568,0.878,16,Italian Grand Prix
HUL, 00:01:19.498000, 00:01:18.568000, 00:00:00.930000,79.498,78.568,0.93,16,Italian Grand Prix
SAI, 00:01:19.528000, 00:01:18.568000, 00:00:00.960000,79.528,78.568,0.96,16,Italian Grand Prix
ALB, 00:01:19.583000, 00:01:18.568000, 00:00:01.015000,79.583,78.568,1.015,16,Italian Grand Prix
OCO, 00:01:19.707000, 00:01:18.568000, 00:00:01.139000,79.707,78.568,1.139,16,Italian Grand Prix
HAD, 00:01:19.917000, 00:01:18.568000, 00:00:01.349000,79.917,78.568,1.349,16,Italian Grand Prix
STR, 00:01:19.948000, 00:01:18.568000, 00:00:01.380000,79.948,78.568,1.38,16,Italian Grand Prix
COL, 00:01:19.992000, 00:01:18.568000, 00:00:01.424000,79.992,78.568,1.424,16,Italian Grand Prix
GAS, 00:01:20.103000, 00:01:18.568000, 00:00:01.535000,80.103,78.568,1.535,16,Italian Grand Prix
LAW, 00:01:20.279000, 00:01:18.568000, 00:00:01.711000,80.279,78.568,1.711,16,Italian Grand Prix
