Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
NOR, 00:01:47.934000, 00:01:47.066000, 00:00:00.868000,107.934,107.066,0.868,22,Las Vegas Grand Prix
VER, 00:01:48.257000, 00:01:47.066000, 00:00:01.191000,108.257,107.066,1.191,22,Las Vegas Grand Prix
SAI, 00:01:48.296000, 00:01:47.066000, 00:00:01.230000,108.296,107.066,1.23,22,Las Vegas Grand Prix
RUS, 00:01:48.803000, 00:01:47.066000, 00:00:01.737000,108.803,107.066,1.737,22,Las Vegas Grand Prix
PIA, 00:01:48.961000, 00:01:47.066000, 00:00:01.895000,108.961,107.066,1.895,22,Las Vegas Grand Prix
LAW, 00:01:49.062000, 00:01:47.066000, 00:00:01.996000,109.062,107.066,1.996,22,Las Vegas Grand Prix
ALO, 00:01:49.466000, 00:01:47.066000, 00:00:02.400000,109.466,107.066,2.4,22,Las Vegas Grand Prix
HAD, 00:01:49.554000, 00:01:47.066000, 00:00:02.488000,109.554,107.066,2.488,22,Las Vegas Grand Prix
LEC, 00:01:49.872000, 00:01:47.066000, 00:00:02.806000,109.872,107.066,2.806,22,Las Vegas Grand Prix
GAS, 00:01:51.540000, 00:01:47.066000, 00:00:04.474000,111.54,107.066,4.474,22,Las Vegas Grand Prix
HUL, 00:01:52.781000, 00:01:47.066000, 00:00:05.715000,112.781,107.066,5.715,22,Las Vegas Grand Prix
STR, 00:01:52.850000, 00:01:47.066000, 00:00:05.784000,112.85,107.066,5.784,22,Las Vegas Grand Prix
OCO, 00:01:52.987000, 00:01:47.066000, 00:00:05.921000,112.987,107.066,5.921,22,Las Vegas Grand Prix
BEA, 00:01:53.094000, 00:01:47.066000, 00:00:06.028000,113.094,107.066,6.028,22,Las Vegas Grand Prix
COL, 00:01:53.683000, 00:01:47.066000, 00:00:06.617000,113.683,107.066,6.617,22,Las Vegas Grand Prix
ALB, 00:01:56.220000, 00:01:47.066000, 00:00:09.154000,116.22,107.066,9.154,22,Las Vegas Grand Prix
ANT, 00:01:56.314000, 00:01:47.066000, 00:00:09.248000,116.314,107.066,9.248,22,Las Vegas Grand Prix
BOR, 00:01:56.674000, 00:01:47.066000, 00:00:09.608000,116.674,107.066,9.608,22,Las Vegas Grand Prix
TSU, 00:01:56.798000, 00:01:47.066000, 00:00:09.732000,116.798,107.066,9.732,22,Las Vegas Grand Prix
HAM, 00:01:57.115000, 00:01:47.066000, 00:00:10.049000,117.115,107.066,10.049,22,Las Vegas Grand Prix
