Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
VER, 00:01:41.117000, 00:01:40.577000, 00:00:00.540000,101.117,100.577,0.54,17,Azerbaijan Grand Prix
NOR, 00:01:41.322000, 00:01:40.577000, 00:00:00.745000,101.322,100.577,0.745,17,Azerbaijan Grand Prix
PIA, 00:01:41.414000, 00:01:40.577000, 00:00:00.837000,101.414,100.577,0.837,17,Azerbaijan Grand Prix
RUS, 00:01:41.455000, 00:01:40.577000, 00:00:00.878000,101.455,100.577,0.878,17,Azerbaijan Grand Prix
LEC, 00:01:41.458000, 00:01:40.577000, 00:00:00.881000,101.458,100.577,0.881,17,Azerbaijan Grand Prix
ANT, 00:01:41.464000, 00:01:40.577000, 00:00:00.887000,101.464,100.577,0.887,17,Azerbaijan Grand Prix
LAW, 00:01:41.537000, 00:01:40.577000, 00:00:00.960000,101.537,100.577,0.96,17,Azerbaijan Grand Prix
SAI, 00:01:41.595000, 00:01:40.577000, 00:00:01.018000,101.595,100.577,1.018,17,Azerbaijan Grand Prix
HAD, 00:01:41.647000, 00:01:40.577000, 00:00:01.070000,101.647,100.577,1.07,17,Azerbaijan Grand Prix
TSU, 00:01:41.788000, 00:01:40.577000, 00:00:01.211000,101.788,100.577,1.211,17,Azerbaijan Grand Prix
HAM, 00:01:41.821000, 00:01:40.577000, 00:00:01.244000,101.821,100.577,1.244,17,Azerbaijan Grand Prix
ALO, 00:01:41.857000, 00:01:40.577000, 00:00:01.280000,101.857,100.577,1.28,17,Azerbaijan Grand Prix
STR, 00:01:42.101000, 00:01:40.577000, 00:00:01.524000,102.101,100.577,1.524,17,Azerbaijan Grand Prix
BOR, 00:01:42.277000, 00:01:40.577000, 00:00:01.700000,102.277,100.577,1.7,17,Azerbaijan Grand Prix
BEA, 00:01:42.666000, 00:01:40.577000, 00:00:02.089000,102.666,100.577,2.089,17,Azerbaijan Grand Prix
COL, 00:01:42.779000, 00:01:40.577000, 00:00:02.202000,102.779,100.577,2.202,17,Azerbaijan Grand Prix
HUL, 00:01:42.916000, 00:01:40.577000, 00:00:02.339000,102.916,100.577,2.339,17,Azerbaijan Grand Prix
OCO, 00:01:43.004000, 00:01:40.577000, 00:00:02.427000,103.004,100.577,2.427,17,Azerbaijan Grand Prix
GAS, 00:01:43.139000, 00:01:40.577000, 00:00:02.562000,103.139,100.577,2.562,17,Azerbaijan Grand Prix
ALB, 00:01:43.778000, 00:01:40.577000, 00:00:03.201000,103.778,100.577,3.201,17,Azerbaijan Grand Prix
