Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
PIA, 00:01:11.546000, 00:01:11.519000, 00:00:00.027000,71.546,71.519,0.027,9,Spanish Grand Prix
NOR, 00:01:11.755000, 00:01:11.519000, 00:00:00.236000,71.755,71.519,0.236,9,Spanish Grand Prix
VER, 00:01:11.848000, 00:01:11.519000, 00:00:00.329000,71.848,71.519,0.329,9,Spanish Grand Prix
RUS, 00:01:11.848000, 00:01:11.519000, 00:00:00.329000,71.848,71.519,0.329,9,Spanish Grand Prix
HAM, 00:01:12.045000, 00:01:11.519000, 00:00:00.526000,72.045,71.519,0.526,9,Spanish Grand Prix
ANT, 00:01:12.111000, 00:01:11.519000, 00:00:00.592000,72.111,71.519,0.592,9,Spanish Grand Prix
LEC, 00:01:12.131000, 00:01:11.519000, 00:00:00.612000,72.131,71.519,0.612,9,Spanish Grand Prix
GAS, 00:01:12.199000, 00:01:11.519000, 00:00:00.680000,72.199,71.519,0.68,9,Spanish Grand Prix
HAD, 00:01:12.252000, 00:01:11.519000, 00:00:00.733000,72.252,71.519,0.733,9,Spanish Grand Prix
ALO, 00:01:12.284000, 00:01:11.519000, 00:00:00.765000,72.284,71.519,0.765,9,Spanish Grand Prix
ALB, 00:01:12.641000, 00:01:11.519000, 00:00:01.122000,72.641,71.519,1.122,9,Spanish Grand Prix
BOR, 00:01:12.756000, 00:01:11.519000, 00:00:01.237000,72.756,71.519,1.237,9,Spanish Grand Prix
LAW, 00:01:12.763000, 00:01:11.519000, 00:00:01.244000,72.763,71.519,1.244,9,Spanish Grand Prix
STR, 00:01:13.038000, 00:01:11.519000, 00:00:01.519000,73.038,71.519,1.519,9,Spanish Grand Prix
BEA, 00:01:13.074000, 00:01:11.519000, 00:00:01.555000,73.074,71.519,1.555,9,Spanish Grand Prix
HUL, 00:01:13.190000, 00:01:11.519000, 00:00:01.671000,73.19,71.519,1.671,9,Spanish Grand Prix
OCO, 00:01:13.201000, 00:01:11.519000, 00:00:01.682000,73.201,71.519,1.682,9,Spanish Grand Prix
SAI, 00:01:13.203000, 00:01:11.519000, 00:00:01.684000,73.203,71.519,1.684,9,Spanish Grand Prix
COL, 00:01:13.334000, 00:01:11.519000, 00:00:01.815000,73.334,71.519,1.815,9,Spanish Grand Prix
TSU, 00:01:13.385000, 00:01:11.519000, 00:00:01.866000,73.385,71.519,1.866,9,Spanish Grand Prix
