Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
RUS, 00:01:29.158000, 00:01:28.964000, 00:00:00.194000,89.158,88.964,0.194,18,Singapore Grand Prix
VER, 00:01:29.340000, 00:01:28.964000, 00:00:00.376000,89.34,88.964,0.376,18,Singapore Grand Prix
PIA, 00:01:29.524000, 00:01:28.964000, 00:00:00.560000,89.524,88.964,0.56,18,Singapore Grand Prix
ANT, 00:01:29.537000, 00:01:28.964000, 00:00:00.573000,89.537,88.964,0.573,18,Singapore Grand Prix
NOR, 00:01:29.586000, 00:01:28.964000, 00:00:00.622000,89.586,88.964,0.622,18,Singapore Grand Prix
HAM, 00:01:29.688000, 00:01:28.964000, 00:00:00.724000,89.688,88.964,0.724,18,Singapore Grand Prix
LEC, 00:01:29.784000, 00:01:28.964000, 00:00:00.820000,89.784,88.964,0.82,18,Singapore Grand Prix
HAD, 00:01:29.846000, 00:01:28.964000, 00:00:00.882000,89.846,88.964,0.882,18,Singapore Grand Prix
BEA, 00:01:29.868000, 00:01:28.964000, 00:00:00.904000,89.868,88.964,0.904,18,Singapore Grand Prix
ALO, 00:01:29.955000, 00:01:28.964000, 00:00:00.991000,89.955,88.964,0.991,18,Singapore Grand Prix
HUL, 00:01:30.141000, 00:01:28.964000, 00:00:01.177000,90.141,88.964,1.177,18,Singapore Grand Prix
ALB, 00:01:30.202000, 00:01:28.964000, 00:00:01.238000,90.202,88.964,1.238,18,Singapore Grand Prix
SAI, 00:01:30.235000, 00:01:28.964000, 00:00:01.271000,90.235,88.964,1.271,18,Singapore Grand Prix
LAW, 00:01:30.320000, 00:01:28.964000, 00:00:01.356000,90.32,88.964,1.356,18,Singapore Grand Prix
TSU, 00:01:30.353000, 00:01:28.964000, 00:00:01.389000,90.353,88.964,1.389,18,Singapore Grand Prix
BOR, 00:01:30.820000, 00:01:28.964000, 00:00:01.856000,90.82,88.964,1.856,18,Singapore Grand Prix
STR, 00:01:30.949000, 00:01:28.964000, 00:00:01.985000,90.949,88.964,1.985,18,Singapore Grand Prix
COL, 00:01:30.982000, 00:01:28.964000, 00:00:02.018000,90.982,88.964,2.018,18,Singapore Grand Prix
OCO, 00:01:30.989000, 00:01:28.964000, 00:00:02.025000,90.989,88.964,2.025,18,Singapore Grand Prix
GAS, 00:01:31.261000, 00:01:28.964000, 00:00:02.297000,91.261,88.964,2.297,18,Singapore Grand Prix
