Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
NOR, 00:01:15.096000, 00:01:15.014000, 00:00:00.082000,75.096,75.014,0.082,1,Australian Grand Prix
PIA, 00:01:15.180000, 00:01:15.014000, 00:00:00.166000,75.18,75.014,0.166,1,Australian Grand Prix
VER, 00:01:15.481000, 00:01:15.014000, 00:00:00.467000,75.481,75.014,0.467,1,Australian Grand Prix
RUS, 00:01:15.546000, 00:01:15.014000, 00:00:00.532000,75.546,75.014,0.532,1,Australian Grand Prix
TSU, 00:01:15.670000, 00:01:15.014000, 00:00:00.656000,75.67,75.014,0.656,1,Australian Grand Prix
ALB, 00:01:15.737000, 00:01:15.014000, 00:00:00.723000,75.737,75.014,0.723,1,Australian Grand Prix
LEC, 00:01:15.755000, 00:01:15.014000, 00:00:00.741000,75.755,75.014,0.741,1,Australian Grand Prix
HAM, 00:01:15.919000, 00:01:15.014000, 00:00:00.905000,75.919,75.014,0.905,1,Australian Grand Prix
SAI, 00:01:15.931000, 00:01:15.014000, 00:00:00.917000,75.931,75.014,0.917,1,Australian Grand Prix
GAS, 00:01:15.980000, 00:01:15.014000, 00:00:00.966000,75.98,75.014,0.966,1,Australian Grand Prix
HAD, 00:01:16.175000, 00:01:15.014000, 00:00:01.161000,76.175,75.014,1.161,1,Australian Grand Prix
ALO, 00:01:16.288000, 00:01:15.014000, 00:00:01.274000,76.288,75.014,1.274,1,Australian Grand Prix
DOO, 00:01:16.315000, 00:01:15.014000, 00:00:01.301000,76.315,75.014,1.301,1,Australian Grand Prix
STR, 00:01:16.369000, 00:01:15.014000, 00:00:01.355000,76.369,75.014,1.355,1,Australian Grand Prix
BOR, 00:01:16.516000, 00:01:15.014000, 00:00:01.502000,76.516,75.014,1.502,1,Australian Grand Prix
ANT, 00:01:16.525000, 00:01:15.014000, 00:00:01.511000,76.525,75.014,1.511,1,Australian Grand Prix
HUL, 00:01:16.579000, 00:01:15.014000, 00:00:01.565000,76.579,75.014,1.565,1,Australian Grand Prix
LAW, 00:01:17.094000, 00:01:15.014000, 00:00:02.080000,77.094,75.014,2.08,1,Australian Grand Prix
OCO, 00:01:17.147000, 00:01:15.014000, 00:00:02.133000,77.147,75.014,2.133,1,Australian Grand Prix
BEA,, 00:01:15.014000,,,75.014,,1,Australian Grand Prix
