Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
VER, 00:01:26.983000, 00:01:26.760000, 00:00:00.223000,86.983,86.76,0.223,3,Japanese Grand Prix
NOR, 00:01:26.995000, 00:01:26.760000, 00:00:00.235000,86.995,86.76,0.235,3,Japanese Grand Prix
PIA, 00:01:27.027000, 00:01:26.760000, 00:00:00.267000,87.027,86.76,0.267,3,Japanese Grand Prix
LEC, 00:01:27.299000, 00:01:26.760000, 00:00:00.539000,87.299,86.76,0.539,3,Japanese Grand Prix
RUS, 00:01:27.318000, 00:01:26.760000, 00:00:00.558000,87.318,86.76,0.558,3,Japanese Grand Prix
ANT, 00:01:27.555000, 00:01:26.760000, 00:00:00.795000,87.555,86.76,0.795,3,Japanese Grand Prix
HAD, 00:01:27.569000, 00:01:26.760000, 00:00:00.809000,87.569,86.76,0.809,3,Japanese Grand Prix
HAM, 00:01:27.610000, 00:01:26.760000, 00:00:00.850000,87.61,86.76,0.85,3,Japanese Grand Prix
ALB, 00:01:27.615000, 00:01:26.760000, 00:00:00.855000,87.615,86.76,0.855,3,Japanese Grand Prix
BEA, 00:01:27.711000, 00:01:26.760000, 00:00:00.951000,87.711,86.76,0.951,3,Japanese Grand Prix
GAS, 00:01:27.822000, 00:01:26.760000, 00:00:01.062000,87.822,86.76,1.062,3,Japanese Grand Prix
SAI, 00:01:27.836000, 00:01:26.760000, 00:00:01.076000,87.836,86.76,1.076,3,Japanese Grand Prix
ALO, 00:01:27.897000, 00:01:26.760000, 00:00:01.137000,87.897,86.76,1.137,3,Japanese Grand Prix
LAW, 00:01:27.906000, 00:01:26.760000, 00:00:01.146000,87.906,86.76,1.146,3,Japanese Grand Prix
TSU, 00:01:27.967000, 00:01:26.760000, 00:00:01.207000,87.967,86.76,1.207,3,Japanese Grand Prix
HUL, 00:01:28.570000, 00:01:26.760000, 00:00:01.810000,88.57,86.76,1.81,3,Japanese Grand Prix
BOR, 00:01:28.622000, 00:01:26.760000, 00:00:01.862000,88.622,86.76,1.862,3,Japanese Grand Prix
OCO, 00:01:28.696000, 00:01:26.760000, 00:00:01.936000,88.696,86.76,1.936,3,Japanese Grand Prix
DOO, 00:01:28.877000, 00:01:26.760000, 00:00:02.117000,88.877,86.76,2.117,3,Japanese Grand Prix
STR, 00:01:29.271000, 00:01:26.760000, 00:00:02.511000,89.271,86.76,2.511,3,Japanese Grand Prix
