Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
PIA, 00:01:08.662000, 00:01:08.542000, 00:00:00.120000,68.662,68.542,0.12,15,Dutch Grand Prix
NOR, 00:01:08.674000, 00:01:08.542000, 00:00:00.132000,68.674,68.542,0.132,15,Dutch Grand Prix
VER, 00:01:08.925000, 00:01:08.542000, 00:00:00.383000,68.925,68.542,0.383,15,Dutch Grand Prix
HAD, 00:01:09.208000, 00:01:08.542000, 00:00:00.666000,69.208,68.542,0.666,15,Dutch Grand Prix
RUS, 00:01:09.255000, 00:01:08.542000, 00:00:00.713000,69.255,68.542,0.713,15,Dutch Grand Prix
HAM, 00:01:09.261000, 00:01:08.542000, 00:00:00.719000,69.261,68.542,0.719,15,Dutch Grand Prix
LEC, 00:01:09.304000, 00:01:08.542000, 00:00:00.762000,69.304,68.542,0.762,15,Dutch Grand Prix
ALO, 00:01:09.366000, 00:01:08.542000, 00:00:00.824000,69.366,68.542,0.824,15,Dutch Grand Prix
LAW, 00:01:09.383000, 00:01:08.542000, 00:00:00.841000,69.383,68.542,0.841,15,Dutch Grand Prix
SAI, 00:01:09.472000, 00:01:08.542000, 00:00:00.930000,69.472,68.542,0.93,15,Dutch Grand Prix
ANT, 00:01:09.493000, 00:01:08.542000, 00:00:00.951000,69.493,68.542,0.951,15,Dutch Grand Prix
BOR, 00:01:09.622000, 00:01:08.542000, 00:00:01.080000,69.622,68.542,1.08,15,Dutch Grand Prix
TSU, 00:01:09.622000, 00:01:08.542000, 00:00:01.080000,69.622,68.542,1.08,15,Dutch Grand Prix
GAS, 00:01:09.637000, 00:01:08.542000, 00:00:01.095000,69.637,68.542,1.095,15,Dutch Grand Prix
ALB, 00:01:09.652000, 00:01:08.542000, 00:00:01.110000,69.652,68.542,1.11,15,Dutch Grand Prix
COL, 00:01:10.104000, 00:01:08.542000, 00:00:01.562000,70.104,68.542,1.562,15,Dutch Grand Prix
HUL, 00:01:10.195000, 00:01:08.542000, 00:00:01.653000,70.195,68.542,1.653,15,Dutch Grand Prix
OCO, 00:01:10.197000, 00:01:08.542000, 00:00:01.655000,70.197,68.542,1.655,15,Dutch Grand Prix
BEA, 00:01:10.262000, 00:01:08.542000, 00:00:01.720000,70.262,68.542,1.72,15,Dutch Grand Prix
STR, 00:01:32.046000, 00:01:08.542000, 00:00:23.504000,92.046,68.542,23.504,15,Dutch Grand Prix
