Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
VER, 00:01:22.207000, 00:01:22.156000, 00:00:00.051000,82.207,82.156,0.051,24,Abu Dhabi Grand Prix
NOR, 00:01:22.408000, 00:01:22.156000, 00:00:00.252000,82.408,82.156,0.252,24,Abu Dhabi Grand Prix
PIA, 00:01:22.437000, 00:01:22.156000, 00:00:00.281000,82.437,82.156,0.281,24,Abu Dhabi Grand Prix
RUS, 00:01:22.645000, 00:01:22.156000, 00:00:00.489000,82.645,82.156,0.489,24,Abu Dhabi Grand Prix
LEC, 00:01:22.730000, 00:01:22.156000, 00:00:00.574000,82.73,82.156,0.574,24,Abu Dhabi Grand Prix
ALO, 00:01:22.861000, 00:01:22.156000, 00:00:00.705000,82.861,82.156,0.705,24,Abu Dhabi Grand Prix
BOR, 00:01:22.874000, 00:01:22.156000, 00:00:00.718000,82.874,82.156,0.718,24,Abu Dhabi Grand Prix
ANT, 00:01:22.894000, 00:01:22.156000, 00:00:00.738000,82.894,82.156,0.738,24,Abu Dhabi Grand Prix
OCO, 00:01:22.913000, 00:01:22.156000, 00:00:00.757000,82.913,82.156,0.757,24,Abu Dhabi Grand Prix
HAD, 00:01:22.997000, 00:01:22.156000, 00:00:00.841000,82.997,82.156,0.841,24,Abu Dhabi Grand Prix
TSU, 00:01:23.034000, 00:01:22.156000, 00:00:00.878000,83.034,82.156,0.878,24,Abu Dhabi Grand Prix
BEA, 00:01:23.041000, 00:01:22.156000, 00:00:00.885000,83.041,82.156,0.885,24,Abu Dhabi Grand Prix
SAI, 00:01:23.042000, 00:01:22.156000, 00:00:00.886000,83.042,82.156,0.886,24,Abu Dhabi Grand Prix
LAW, 00:01:23.077000, 00:01:22.156000, 00:00:00.921000,83.077,82.156,0.921,24,Abu Dhabi Grand Prix
STR, 00:01:23.097000, 00:01:22.156000, 00:00:00.941000,83.097,82.156,0.941,24,Abu Dhabi Grand Prix
HAM, 00:01:23.394000, 00:01:22.156000, 00:00:01.238000,83.394,82.156,1.238,24,Abu Dhabi Grand Prix
ALB, 00:01:23.416000, 00:01:22.156000, 00:00:01.260000,83.416,82.156,1.26,24,Abu Dhabi Grand Prix
HUL, 00:01:23.450000, 00:01:22.156000, 00:00:01.294000,83.45,82.156,1.294,24,Abu Dhabi Grand Prix
GAS, 00:01:23.468000, 00:01:22.156000, 00:00:01.312000,83.468,82.156,1.312,24,Abu Dhabi Grand Prix
COL, 00:01:23.890000, 00:01:22.156000, 00:00:01.734000,83.89,82.156,1.734,24,Abu Dhabi Grand Prix
