Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
NOR, 00:01:40.562000, 00:01:40.150000, 00:00:00.412000,100.562,100.15,0.412,13,Belgian Grand Prix
PIA, 00:01:40.626000, 00:01:40.150000, 00:00:00.476000,100.626,100.15,0.476,13,Belgian Grand Prix
LEC, 00:01:40.900000, 00:01:40.150000, 00:00:00.750000,100.9,100.15,0.75,13,Belgian Grand Prix
VER, 00:01:40.903000, 00:01:40.150000, 00:00:00.753000,100.903,100.15,0.753,13,Belgian Grand Prix
ALB, 00:01:41.201000, 00:01:40.150000, 00:00:01.051000,101.201,100.15,1.051,13,Belgian Grand Prix
TSU, 00:01:41.245000, 00:01:40.150000, 00:00:01.095000,101.245,100.15,1.095,13,Belgian Grand Prix
RUS, 00:01:41.254000, 00:01:40.150000, 00:00:01.104000,101.254,100.15,1.104,13,Belgian Grand Prix
HAD, 00:01:41.281000, 00:01:40.150000, 00:00:01.131000,101.281,100.15,1.131,13,Belgian Grand Prix
LAW, 00:01:41.297000, 00:01:40.150000, 00:00:01.147000,101.297,100.15,1.147,13,Belgian Grand Prix
BOR, 00:01:41.336000, 00:01:40.150000, 00:00:01.186000,101.336,100.15,1.186,13,Belgian Grand Prix
OCO, 00:01:41.525000, 00:01:40.150000, 00:00:01.375000,101.525,100.15,1.375,13,Belgian Grand Prix
BEA, 00:01:41.617000, 00:01:40.150000, 00:00:01.467000,101.617,100.15,1.467,13,Belgian Grand Prix
GAS, 00:01:41.633000, 00:01:40.150000, 00:00:01.483000,101.633,100.15,1.483,13,Belgian Grand Prix
HAM, 00:01:41.664000, 00:01:40.150000, 00:00:01.514000,101.664,100.15,1.514,13,Belgian Grand Prix
SAI, 00:01:41.691000, 00:01:40.150000, 00:00:01.541000,101.691,100.15,1.541,13,Belgian Grand Prix
HUL, 00:01:41.707000, 00:01:40.150000, 00:00:01.557000,101.707,100.15,1.557,13,Belgian Grand Prix
COL, 00:01:42.022000, 00:01:40.150000, 00:00:01.872000,102.022,100.15,1.872,13,Belgian Grand Prix
ANT, 00:01:42.139000, 00:01:40.150000, 00:00:01.989000,102.139,100.15,1.989,13,Belgian Grand Prix
ALO, 00:01:42.385000, 00:01:40.150000, 00:00:02.235000,102.385,100.15,2.235,13,Belgian Grand Prix
STR, 00:01:42.502000, 00:01:40.150000, 00:00:02.352000,102.502,100.15,2.352,13,Belgian Grand Prix
