Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
PIA, 00:01:14.670000, 00:01:14.376000, 00:00:00.294000,74.67,74.376,0.294,7,Emilia Romagna Grand Prix
VER, 00:01:14.704000, 00:01:14.376000, 00:00:00.328000,74.704,74.376,0.328,7,Emilia Romagna Grand Prix
RUS, 00:01:14.807000, 00:01:14.376000, 00:00:00.431000,74.807,74.376,0.431,7,Emilia Romagna Grand Prix
NOR, 00:01:14.962000, 00:01:14.376000, 00:00:00.586000,74.962,74.376,0.586,7,Emilia Romagna Grand Prix
SAI, 00:01:15.198000, 00:01:14.376000, 00:00:00.822000,75.198,74.376,0.822,7,Emilia Romagna Grand Prix
ALO, 00:01:15.431000, 00:01:14.376000, 00:00:01.055000,75.431,74.376,1.055,7,Emilia Romagna Grand Prix
ALB, 00:01:15.473000, 00:01:14.376000, 00:00:01.097000,75.473,74.376,1.097,7,Emilia Romagna Grand Prix
STR, 00:01:15.497000, 00:01:14.376000, 00:00:01.121000,75.497,74.376,1.121,7,Emilia Romagna Grand Prix
GAS, 00:01:15.505000, 00:01:14.376000, 00:00:01.129000,75.505,74.376,1.129,7,Emilia Romagna Grand Prix
HAD, 00:01:15.510000, 00:01:14.376000, 00:00:01.134000,75.51,74.376,1.134,7,Emilia Romagna Grand Prix
LEC, 00:01:15.604000, 00:01:14.376000, 00:00:01.228000,75.604,74.376,1.228,7,Emilia Romagna Grand Prix
HAM, 00:01:15.765000, 00:01:14.376000, 00:00:01.389000,75.765,74.376,1.389,7,Emilia Romagna Grand Prix
ANT, 00:01:15.772000, 00:01:14.376000, 00:00:01.396000,75.772,74.376,1.396,7,Emilia Romagna Grand Prix
BEA, 00:01:16.077000, 00:01:14.376000, 00:00:01.701000,76.077,74.376,1.701,7,Emilia Romagna Grand Prix
COL, 00:01:16.256000, 00:01:14.376000, 00:00:01.880000,76.256,74.376,1.88,7,Emilia Romagna Grand Prix
BOR, 00:01:16.260000, 00:01:14.376000, 00:00:01.884000,76.26,74.376,1.884,7,Emilia Romagna Grand Prix
LAW, 00:01:16.379000, 00:01:14.376000, 00:00:02.003000,76.379,74.376,2.003,7,Emilia Romagna Grand Prix
HUL, 00:01:16.518000, 00:01:14.376000, 00:00:02.142000,76.518,74.376,2.142,7,Emilia Romagna Grand Prix
OCO, 00:01:16.613000, 00:01:14.376000, 00:00:02.237000,76.613,74.376,2.237,7,Emilia Romagna Grand Prix
TSU,, 00:01:14.376000,,,74.376,,7,Emilia Romagna Grand Prix
