Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
NOR, 00:01:14.890000, 00:01:14.743000, 00:00:00.147000,74.89,74.743,0.147,14,Hungarian Grand Prix
PIA, 00:01:14.941000, 00:01:14.743000, 00:00:00.198000,74.941,74.743,0.198,14,Hungarian Grand Prix
STR, 00:01:15.129000, 00:01:14.743000, 00:00:00.386000,75.129,74.743,0.386,14,Hungarian Grand Prix
RUS, 00:01:15.201000, 00:01:14.743000, 00:00:00.458000,75.201,74.743,0.458,14,Hungarian Grand Prix
ALO, 00:01:15.281000, 00:01:14.743000, 00:00:00.538000,75.281,74.743,0.538,14,Hungarian Grand Prix
LEC, 00:01:15.372000, 00:01:14.743000, 00:00:00.629000,75.372,74.743,0.629,14,Hungarian Grand Prix
HAD, 00:01:15.469000, 00:01:14.743000, 00:00:00.726000,75.469,74.743,0.726,14,Hungarian Grand Prix
VER, 00:01:15.547000, 00:01:14.743000, 00:00:00.804000,75.547,74.743,0.804,14,Hungarian Grand Prix
BOR, 00:01:15.586000, 00:01:14.743000, 00:00:00.843000,75.586,74.743,0.843,14,Hungarian Grand Prix
LAW, 00:01:15.630000, 00:01:14.743000, 00:00:00.887000,75.63,74.743,0.887,14,Hungarian Grand Prix
SAI, 00:01:15.652000, 00:01:14.743000, 00:00:00.909000,75.652,74.743,0.909,14,Hungarian Grand Prix
ANT, 00:01:15.693000, 00:01:14.743000, 00:00:00.950000,75.693,74.743,0.95,14,Hungarian Grand Prix
BEA, 00:01:15.694000, 00:01:14.743000, 00:00:00.951000,75.694,74.743,0.951,14,Hungarian Grand Prix
HAM, 00:01:15.702000, 00:01:14.743000, 00:00:00.959000,75.702,74.743,0.959,14,Hungarian Grand Prix
COL, 00:01:15.875000, 00:01:14.743000, 00:00:01.132000,75.875,74.743,1.132,14,Hungarian Grand Prix
TSU, 00:01:15.899000, 00:01:14.743000, 00:00:01.156000,75.899,74.743,1.156,14,Hungarian Grand Prix
GAS, 00:01:15.966000, 00:01:14.743000, 00:00:01.223000,75.966,74.743,1.223,14,Hungarian Grand Prix
OCO, 00:01:16.023000, 00:01:14.743000, 00:00:01.280000,76.023,74.743,1.28,14,Hungarian Grand Prix
HUL, 00:01:16.081000, 00:01:14.743000, 00:00:01.338000,76.081,74.743,1.338,14,Hungarian Grand Prix
ALB, 00:01:16.223000, 00:01:14.743000, 00:00:01.480000,76.223,74.743,1.48,14,Hungarian Grand Prix
