Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
RUS, 00:01:10.899000, 00:01:10.709000, 00:00:00.190000,70.899,70.709,0.19,10,Canadian Grand Prix
VER, 00:01:11.059000, 00:01:10.709000, 00:00:00.350000,71.059,70.709,0.35,10,Canadian Grand Prix
PIA, 00:01:11.120000, 00:01:10.709000, 00:00:00.411000,71.12,70.709,0.411,10,Canadian Grand Prix
ANT, 00:01:11.391000, 00:01:10.709000, 00:00:00.682000,71.391,70.709,0.682,10,Canadian Grand Prix
HAM, 00:01:11.526000, 00:01:10.709000, 00:00:00.817000,71.526,70.709,0.817,10,Canadian Grand Prix
ALO, 00:01:11.586000, 00:01:10.709000, 00:00:00.877000,71.586,70.709,0.877,10,Canadian Grand Prix
NOR, 00:01:11.599000, 00:01:10.709000, 00:00:00.890000,71.599,70.709,0.89,10,Canadian Grand Prix
LEC, 00:01:11.626000, 00:01:10.709000, 00:00:00.917000,71.626,70.709,0.917,10,Canadian Grand Prix
HAD, 00:01:11.867000, 00:01:10.709000, 00:00:01.158000,71.867,70.709,1.158,10,Canadian Grand Prix
ALB, 00:01:11.892000, 00:01:10.709000, 00:00:01.183000,71.892,70.709,1.183,10,Canadian Grand Prix
TSU, 00:01:12.102000, 00:01:10.709000, 00:00:01.393000,72.102,70.709,1.393,10,Canadian Grand Prix
COL, 00:01:12.142000, 00:01:10.709000, 00:00:01.433000,72.142,70.709,1.433,10,Canadian Grand Prix
HUL, 00:01:12.183000, 00:01:10.709000, 00:00:01.474000,72.183,70.709,1.474,10,Canadian Grand Prix
BEA, 00:01:12.306000, 00:01:10.709000, 00:00:01.597000,72.306,70.709,1.597,10,Canadian Grand Prix
OCO, 00:01:12.378000, 00:01:10.709000, 00:00:01.669000,72.378,70.709,1.669,10,Canadian Grand Prix
BOR, 00:01:12.385000, 00:01:10.709000, 00:00:01.676000,72.385,70.709,1.676,10,Canadian Grand Prix
SAI, 00:01:12.398000, 00:01:10.709000, 00:00:01.689000,72.398,70.709,1.689,10,Canadian Grand Prix
STR, 00:01:12.517000, 00:01:10.709000, 00:00:01.808000,72.517,70.709,1.808,10,Canadian Grand Prix
LAW, 00:01:12.525000, 00:01:10.709000, 00:00:01.816000,72.525,70.709,1.816,10,Canadian Grand Prix
GAS, 00:01:12.667000, 00:01:10.709000, 00:00:01.958000,72.667,70.709,1.958,10,Canadian Grand Prix
