Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
PIA, 00:01:19.387000, 00:01:19.336000, 00:00:00.051000,79.387,79.336,0.051,23,Qatar Grand Prix
NOR, 00:01:19.495000, 00:01:19.336000, 00:00:00.159000,79.495,79.336,0.159,23,Qatar Grand Prix
VER, 00:01:19.651000, 00:01:19.336000, 00:00:00.315000,79.651,79.336,0.315,23,Qatar Grand Prix
RUS, 00:01:19.662000, 00:01:19.336000, 00:00:00.326000,79.662,79.336,0.326,23,Qatar Grand Prix
ANT, 00:01:19.846000, 00:01:19.336000, 00:00:00.510000,79.846,79.336,0.51,23,Qatar Grand Prix
HAD, 00:01:20.114000, 00:01:19.336000, 00:00:00.778000,80.114,79.336,0.778,23,Qatar Grand Prix
ALO, 00:01:20.219000, 00:01:19.336000, 00:00:00.883000,80.219,79.336,0.883,23,Qatar Grand Prix
SAI, 00:01:20.251000, 00:01:19.336000, 00:00:00.915000,80.251,79.336,0.915,23,Qatar Grand Prix
GAS, 00:01:20.324000, 00:01:19.336000, 00:00:00.988000,80.324,79.336,0.988,23,Qatar Grand Prix
LEC, 00:01:20.343000, 00:01:19.336000, 00:00:01.007000,80.343,79.336,1.007,23,Qatar Grand Prix
HUL, 00:01:20.353000, 00:01:19.336000, 00:00:01.017000,80.353,79.336,1.017,23,Qatar Grand Prix
LAW, 00:01:20.433000, 00:01:19.336000, 00:00:01.097000,80.433,79.336,1.097,23,Qatar Grand Prix
BEA, 00:01:20.438000, 00:01:19.336000, 00:00:01.102000,80.438,79.336,1.102,23,Qatar Grand Prix
BOR, 00:01:20.534000, 00:01:19.336000, 00:00:01.198000,80.534,79.336,1.198,23,Qatar Grand Prix
ALB, 00:01:20.629000, 00:01:19.336000, 00:00:01.293000,80.629,79.336,1.293,23,Qatar Grand Prix
TSU, 00:01:20.761000, 00:01:19.336000, 00:00:01.425000,80.761,79.336,1.425,23,Qatar Grand Prix
OCO, 00:01:20.864000, 00:01:19.336000, 00:00:01.528000,80.864,79.336,1.528,23,Qatar Grand Prix
HAM, 00:01:20.907000, 00:01:19.336000, 00:00:01.571000,80.907,79.336,1.571,23,Qatar Grand Prix
STR, 00:01:21.058000, 00:01:19.336000, 00:00:01.722000,81.058,79.336,1.722,23,Qatar Grand Prix
COL, 00:01:21.137000, 00:01:19.336000, 00:00:01.801000,81.137,79.336,1.801,23,Qatar Grand Prix
