Piloto,TempoVolta,PerfeitaVolta,DiffVolta,TempoVoltaSec,PerfeitaVoltaSec,DiffVoltaSec,NumGP,NomeGP
VER, 00:01:24.892000, 00:01:24.688000, 00:00:00.204000,84.892,84.688,0.204,12,British Grand Prix
PIA, 00:01:24.995000, 00:01:24.688000, 00:00:00.307000,84.995,84.688,0.307,12,British Grand Prix
NOR, 00:01:25.010000, 00:01:24.688000, 00:00:00.322000,85.01,84.688,0.322,12,British Grand Prix
RUS, 00:01:25.029000, 00:01:24.688000, 00:00:00.341000,85.029,84.688,0.341,12,British Grand Prix
HAM, 00:01:25.084000, 00:01:24.688000, 00:00:00.396000,85.084,84.688,0.396,12,British Grand Prix
LEC, 00:01:25.121000, 00:01:24.688000, 00:00:00.433000,85.121,84.688,0.433,12,British Grand Prix
ANT, 00:01:25.374000, 00:01:24.688000, 00:00:00.686000,85.374,84.688,0.686,12,British Grand Prix
BEA, 00:01:25.471000, 00:01:24.688000, 00:00:00.783000,85.471,84.688,0.783,12,British Grand Prix
ALO, 00:01:25.593000, 00:01:24.688000, 00:00:00.905000,85.593,84.688,0.905,12,British Grand Prix
GAS, 00:01:25.711000, 00:01:24.688000, 00:00:01.023000,85.711,84.688,1.023,12,British Grand Prix
SAI, 00:01:25.746000, 00:01:24.688000, 00:00:01.058000,85.746,84.688,1.058,12,British Grand Prix
TSU, 00:01:25.826000, 00:01:24.688000, 00:00:01.138000,85.826,84.688,1.138,12,British Grand Prix
HAD, 00:01:25.864000, 00:01:24.688000, 00:00:01.176000,85.864,84.688,1.176,12,British Grand Prix
ALB, 00:01:25.889000, 00:01:24.688000, 00:00:01.201000,85.889,84.688,1.201,12,British Grand Prix
OCO, 00:01:25.950000, 00:01:24.688000, 00:00:01.262000,85.95,84.688,1.262,12,British Grand Prix
LAW, 00:01:26.440000, 00:01:24.688000, 00:00:01.752000,86.44,84.688,1.752,12,British Grand Prix
BOR, 00:01:26.446000, 00:01:24.688000, 00:00:01.758000,86.446,84.688,1.758,12,British Grand Prix
STR, 00:01:26.504000, 00:01:24.688000, 00:00:01.816000,86.504,84.688,1.816,12,British Grand Prix
HUL, 00:01:26.574000, 00:01:24.688000, 00:00:01.886000,86.574,84.688,1.886,12,British Grand Prix
COL, 00:01:27.060000, 00:01:24.688000, 00:00:02.372000,87.06,84.688,2.372,12,British Grand Prix
